hhconnection,pubtapstandpipe,tubewellborehole,prowell,prospring,rainwater,unprowell,unprospring,carttruck,bottled,surface,otherwater,missingwater,improvedotherwater,unimprovedotherwater,halfimprovedwater,unknownwater
Piped within the building or plot of land,piped water-public tap,no pipe well with hand pump,ÿprotected well in residence/yard/plot    {from 21},,Catchment tank,unprotected well in dwelling/yard/plot,,carro repartidor/triciclo,,acude,,,,,Well(outside hh),
Piped into Dwelling,"piped, public utilit",pozo con bomba de mano,Public covered well,,catchment tank,"water from hand-dug, non-reinforced and uncovered wells",,cart with small tank,,agua de superficie,,,,,agua de pozo,
Piped into Residence,private outside standpipe/tap,pozo con bomba electrica,protected well in yard,,"pirvate catchment, not piped",water from open well or borehole,,cart with small tank/drum,,"agua de un pozo, río, lago, arroyo",,,,,agua de pozo dentro del terreno,
Piped into dwelling,public aqueduct,pozo con tuberia/bomba,"Protected well, spring",,private catchment not piper,well without cover,,delivered by water distributor,,"agua por acarreo (arroyo, jaguey, rio, etc.)",,,,,agua embasada,
Piped into dwelling or compoun,public faucet,pozo con tubería/pozo con bomba,Protected dug well/spring,,"private catchments, not piped",ÿunprotected external well                {from 33},,delivery/water seller,,"agua por acarreo (pozo, arroyo, jaguey)",,,,,agua por acarreo,
Piped into dwelling- private,public fountain,pozo mecanico,Protected Dug Well,,rain watertank,ÿunprotected public well                  {from 32},,no pipe street vendors,,agua recogida directamente de una charca o arroyo,,,,,aljibe,
Piped into dwelling- private (including private catchment),public fountain /tank,pozo protegido o agujero perforado en el suelo,Well sani-tary,,"rain, others",ÿunprotected well in residence/yard/plot  {from 31},,per carry trank truck,,arroyo sin proteger,,,,,"cami_n, carreta o pipa",
Piped into dwelling- public,public piped network,private pump,well- covered,,rainwater tank on site,open well without sum pump,,purchased water,,barrage,,,,,"camión, carreta o pipa",
Piped into residence,public stand pipe,protected public well / borehole,protected well into yard/plot ,,"unprotected, rain water",Public open well,,retail plumber,,"bassia,rio ou corrente",,,,,"camion, carreta o pipa",
Piped into residence/ yard/ plot/ compound,public standpipe,protected well / borehole in yard /plot,others protected well,,jabia/rain/harvested,open well/hole/cesspool in residence,,revendeur d'eau,,berkad,,,,,camión/carreta/pipa,
Piped into yard or plot,public standpipe or hand pump,protected well/boreh,protected well  to yard ,,,open well/hole/cesspool outside residence,,tanker supply/water vendor,,canal,,,,,charrette avec petite citerne/tonneau,
Piped into yard/plot,public tab,public bore hole,"protected well, hand pump ",,,public trad. well,,tanker truck,,canal/river,,,,,cistern,
Piped water,public tab/standpipe,public borehole,,,,Communal wellundeveloped,,tanker truck                              {from 61},,channel of river,,,,,cisterna,
Piped water exclusive,public tap,public hand pump,,,,Traditional well,,tanker truck /peddler,,"charca/estanque, rio arroyo",,,,,common well,
Piped water inside,public tap treated,public handpump,,,,"Unprotected well, spring",,tanker truck /vendor,,"charca/estanque, río o arroyo",,,,,communal water well,
Piped water into dwelling unit,public tap untreated,public pump,,,,Unprotected well/rainwater,,tanker truck vendor,,"creek, spring, river, lake",,,,,dans la concession/parcelle,
Piped water outside,public tap water,public well w /pump,,,,"Unprotected well, spring or rain",,"tanker truck, other vendor",,creek/river,,,,,dans la cour/parcelle,
Piped water shared,public tap/ standpipe,public/neighbor's tubewell,,,,Unprotected Dug Well,,"tanker truck, vendor",,dam,,,,,de la pluma,
Piped water through house connection or yard,public tap/standpipe,puit ... pompe,,,,Well unprotected rim,,tanker truck/bowser,,dam/lake/canal,,,,,de otra vivienda/vecino,
Private Outdoor Faucet,public taps/standpipe,puits a pompe,,,,well- uncovered,,tanker truck/cart with tank/drum,,dam/lake/pond,,,,,de pozo,
Private Piped into Dwelling,"public, standpipe",puits a pompe/forage,,,,public unprotected well,,tanker truck/oth veh,,dam/lake/pond/canal/irrigation channel,,,,,drums,
Private catchment piped,public- stand pipe,puits avec pompe,,,,public and others unprotected well,,tanker truck/peddler,,dam/river/stream/spring,,,,,dug well,
Private piped dwelling,puesto publico,puits equipe de pompe,,,,unprotected well into yard,,tanker truck/water vendor,,dam/stagnant water,,,,,dug well/bucket,
Private piped in,puesto público,puits moderne/forage,,,,unprotected well to yard,,tanker vendor,,decanter,,,,,furo,
Private piped into dwelling,robinet public,puits … pompe/forage,,,,,,tanker-truck,,dugout/pond/lake/dam,,,,,gathered,
Private tap in yard,robinet public/borne fontaine,puits à pompe,,,,,,tanker-truck vendor,,dugout/pond/lake/dam/pool,,,,,ground water (> 5 meters),
Private tap water,spring /public fountain,puits à pompe/forage,,,,,,"tanker-truck, vendor",,eau de surface,,,,,have a well in your yard,
"Private, piped into dwelling",spring/public fountain,pump,,,,,,"tanker-truck,vendor",,flowing river/stream,,,,,in neighbor's land,
Public Piped into Dwelling,street fountains,pump (out of conc),,,,,,tanker/truck/vendor,,improved stream,,,,,in own land,
Public Piped into Yard,tiene agua de una llave publica o hidrante,pumped well,,,,,,tanquero,,irrigation ditch,,,,,in the courtyard,
Public Piped into yard,torneira publica,shallow tubewell,,,,,,truck borne,,lac,,,,,in the house,
Public Piped yard,un llave publica o hidrante,shalow tubewell,,,,,,truck tank,,lac/riviere/ruisseau,,,,,local watersupply,
Public piped dwelling,una llave publica o hidrante,tube well,,,,,,vendeur d'eau,,"lago, laguna",,,,,mains <=200m,
Public piped into dwelling,ÿpublic tap,tube well or borehole,,,,,,vendor,,"lagoa, rio ou riacho",,,,,mains >200m,
Public piped into yard,ÿpublic tap                               {from 12},tube well/abesin pum,,,,,,vendor = cart with small tank,,"lagoa, rio, ribeiro",,,,,manantial/noria,
Public- piped into dwelling,ÿreseller from public tap                 {from 51},tube well/bore hole with pump,,,,,,water carrier/tanker,,lake,,,,,natural spring,
RED PUB. DENTRO VIV.,ÿû public tap,tube well/borehole,,,,,,water from a truck,,"lake, pond",,,,,neighbor - unspecifi,
RED PUB. FUERA VIV.,chorro compartido (común),tube well/borehole with pump,,,,,,water from vendor,,"lake, pond, dam",,,,,neighbor well,
Red publica acueducto,chorro público,tube-well/borehole,,,,,,water merchant from covered well,,"lake, river, etc.",,,,,neighbouring,
Red p£bl. dentro,llave fuera de la propiedad a 100 metros o mas ,tubed/piped public well or bore hole,,,,,,water merchant from pond/lake,,"lake, river, stream",,,,,no pipe Well winch,
Red p£bl. fuera,llave fuera de la propiedad a menos de 100 metros,tubed/piped well or bore hole in dwelling/yard,,,,,,water merchant from tradit. well,,lake/ pond/ stream,,,,,no piped water,
Red p£blica en viv.,"pila, tanque público",tubewell,,,,,,water merchant from unknown source,,lake/dam,,,,,not piped,
Red p£blica fuera v.,pilon/grifo publico,tubewell in yard/plot,,,,,,water sale by company,,lake/pond,,,,,of a neighbor,
Robinet intérieur partagé,standpipe in plot,tubewell with powered pump,,,,,,water seller,,levada,,,,,ojo de agua o manantial,
Robinet intérieur propre,ca¤er¡a colectiva,"tubewell, borehole with pompe",,,,,,water truck,,manantial (puquio),,,,,olho d agua/mina,
Running water,ca¤er¡a p£blica,"tubewell, borehole with pump",,,,,,water truck/tanker service,,"manantial, rio o arroyo",,,,,outside dwelling / within resinct,
Running water inside the dwelling,public tap / neighbors house,tubewell/borehole,,,,,,water trucks,,"manantial, rio, arroyo, canal",,,,,outside house,
Running water on property,commnal tap,tubewell/borehole with hand pump,,,,,,water vender,,"manantial, río o arroyo",,,,,own system of water supply,
Running water outside the dwelling,piped water elsewhere,tubewell/borehole with pump,,,,,,water vendor,,mare ruisseau ou fleuve,,,,,poco,
Running water within unit,Pila p£blica,tubewell/handpump,,,,,,la compran,,"mare, lac",,,,,pozo,
TUBERIA DENTRO DE VIVIENDA,Torneira Publica,water from covered well or borehole,,,,,,camion o tanque aguatero,,"mare, ruisseau ou fleuve",,,,,pozo o aljibe,
TUBERIA EN CASA,Communal standpipe/bolehole,water pump,,,,,,camion tanque/aguatero,,mare/ riviere/ruisseau/lac,,,,,pozo o aljilbe,
TUBERIA EN PATIO,Communal standpipe/borehole,water pumped from deep drill wells,,,,,,"tanker,truck,other v",,mare/fleuve ou ruisseau,,,,,pozo p_blico o privado,
