pubsewer,septic,pourflush,simplepit,vip,composting,bucket,openlatrine,hanging,opendef,othersan,missingsan,improvedothersan,unimprovedothersan,halfimprovedsan,unknownsan
por alcantarillado,private toilet with septic tank,flush toilet: shared,,,,,,,No tiene/al aire libre,,,,,latrines a evacuation,
pour-flush latrine connected to public sewage network,private with septic,flush unconnected to sewer/without septic tank,,,,,,,No Toilet,,,,,latrines e‚vacuation,
private connected to sewer,private with septic tank,flush w/o sewer,,,,,,,No toilet,,,,,Latrines ordinaires,
public connected to sewer,"private, with septic tank","flush, don't know where",,,,,,,no toilet,,,,,latrines traditionelles,
public service,Prive Toilet with Septic Tank,"flush, in house",,,,,,,no toilet facilities,,,,,latrines traditionnelles,
rede de esgoto,por fosa séptica,"flush, in-house",,,,,,,no toilet facility,,,,,Latrines traditionnelles réhab,
servicio sanitario exclusivo con admision directa de agua,Puits perdu,"flush, outside house, public restroom",,,,,,,"no toilet facility (bush,beach)",,,,,latrines … evacuation,
servicio sanitario tiene conexion de agua,pvt. w. septic tank,Flush- shared,,,,,,,"no toilet facility, bush, field",,,,,LETRINA,
Sewage,septic,Flush-private,,,,,,,"no toilet, in nature",,,,,Letrina,
Sewage system (public sewage disposal),septic pit,indoor flush toilet,,,,,,,"no toilet, use bush or field",,,,,letrina,
sewage system (public sewage disposal,Septic Tank,"inside house, flush",,,,,,,no toilet/bush,,,,,LETRINA COMUN,
sewerage,Septic tank (private sewage disposal),Latri or toilette chasse manuelle,,,,,,,no toilet/field/bush,,,,,letrina comun,
sistema de esgoto ou fossa séptica,septic tank,latrina com descarga de água,,,,,,,no toilet/field/forest,,,,,Letrina común,
Toilet connected to sewage system for use by a family,septic tank (private sewage disposal,latrine with connection to open water,,,,,,,"No, nothing",,,,,letrina común,
Toilet connected to sewage system for use by several families,septic tank /modern,letrina con desagüe,,,,,,,None,,,,,Letrina de fosa simple,
toilet connected to sewer,septic tank /toilet,letrina con rubor,,,,,,,none,,,,,letrina descubierta (sin intimidad),
"Toilet connected to the network of uptake, exclusively",septic tank/modern toilet,Letrina hidraulica/tasa campesina,,,,,,,None (bush),,,,,LETRINA MUNIC.,
"Toilet connected to the network of uptake, for several households",septic tank/toilet,"Not connected, flush toilet",,,,,,,None/not stated,,,,,letrina o hueco,
toilet to piped public drainage,septic well,"not connected, flush toilet",,,,,,,"Not connected, no toilet",,,,,letrina sin conexion de agua,
toilet to sewer,"shared, with septic tank","outside house, flush",,,,,,,"not connected, no toilet",,,,,letrina tipo municipal,
toilet with a water connection,sumidero o pozo séptico,own flush toilet,,,,,,,open air,,,,,Letrina tipo municipal,
toilet with piped sewage,Toilet connected to septic tank for use by a family,own flush toilet outsite/yard,,,,,,,other - to pond/field rice,,,,,letrina tradicional,
tout a l'‚gout,Toilet connected to septic tank for use by several families,own flust toilet into residence,,,,,,,other - to shore/open field,,,,,letrine,
tuberia a otra parte,"Toilet connected to septic tank, exclusively",Pour flush latrine,,,,,,,pas de toil./ nature,,,,,Municipal-type toilet exclusive home,
W.C. Connected to the network published shared with another household,"Toilet connected to septic tank, for several households",pour flush latrine,,,,,,,pas de toilette,,,,,Municipal-type toilet shared with another household,
W.C. Connected to the network's exclusive publications home,toilet connected to septic well,pour flush latrine (water seal type),,,,,,,pas de toilette ou brousse ou champ,,,,,"Ne, samo poljski WC",
w.c. linked to sewer,toilet to septic tank,pour flush latrine( water seal type),,,,,,,"pas de toilette, dans la nature",,,,,No flush toilet,
W.C. linked to WASA sewer system,toilet with septic tank,Pour-flush latrines for use by a family,,,,,,,pas de toilette/brousse/champ,,,,,no flush toilet,
WC (Flush toilet) linked to sewer,toilet-septic tank,Pour-flush latrines for use by several families,,,,,,,pas de toilette/nature,,,,,"no flush, in house",
WC flush toilet linked to sewer,w.c. cesspit or septic tank,private flush toilet,,,,,,,Pas de toilettes ou brousse ou champ,,,,,"no flush, in-house",
WC linked sewer,W.C. linked to septic tank,public flush toilet,,,,,,,pas de toilettes ou brousse ou champ,,,,,"no flush, outside house, public restroom",
wc linked to sewer,WC (Flush toilet) linked to septic tank,Retrete com autoclismo,,,,,,,pas de toilettes/brousse,,,,,no private toilet,
WC linked to sewer,WC cesspit or septic tank,servicio sanitario exclusivo con admision manual de agua,,,,,,,pas de toilettes/dans la nature,,,,,no sewage connection,
"yes, public sewer",WC flush toilet linked to septic tank soak-away,servicio sanitario tiene le echan agua con cubeta,,,,,,,pas de toillettes dans parcelle/brousse/champ,,,,,no toilet in the house,
"Yes, public sewers",WC linked to cesspit,share flush toilet into residence,,,,,,,pas de toillettes ou brousse ou champ,,,,,"No, letrine only",
excusado conectado a alcantarrillado ,WC linked to septic,share flush toilet outside/yard,,,,,,,pas de w.c.,,,,,"no, only Polish WC",
inodoro o alcantarillado ,WC linked to Septic tank,Shared Flush Toilet,,,,,,,Pas de WC,,,,,"Non-flush, latrine",
inodoro compartido  conectado al alcantarillado,WC linked to septic tank,shared flush toilet,,,,,,,qualquer lugar,,,,,"non-flush, latrine ",
inodoro privado conectado al alcantarillado,well-septic,shared flush toilet (w.c.),,,,,,,sin sanitario,,,,,"non-flush, latrine",
red publica dentro vivienda,"Yes, septic tank","toilet, pour water bucket",,,,,,,"sin toilet, campo",,,,,non-ventilated pit latrine,
red publica fuera de la vivienda,"yes, septic tank",toilette … chasse d'eau,,,,,,,yard/bush/forest,,,,,Not connected to sewage disposal system,
"shared with another household, connected to trainage system",inodoro a fosa séptica,trad with bucket fl.,,,,,,,ÿno facility/bush/field,,,,,not connected,
Inodoro-alcantarill.,excusado conectado a pozo ciego,trad with tank flush,,,,,,,ÿno facility/bush/field,,,,,"not connected, have toilet, type not specified",
"si, dentro de la viv",excusado conectado a pozo septico,trad. w bucket flush,,,,,,,no tiene al aire libre,,,,,"not connected, no flush toilet",
"si, fuera de la viv",pozo ciego o negro,trad. w bucket flush,,,,,,,no tiene servicio higienico,,,,,"not connected, non-flush, latrine",
