hhconnection,pubtapstandpipe,tubewellborehole,prowell,prospring,rainwater,unprowell,unprospring,carttruck,bottled,surface,otherwater,missingwater,improvedotherwater,unimprovedotherwater,halfimprovedwater,unknownwater
Eau courante,Power supply (with installation outside the house)- Community public water,protect. well/borehl,puits protegeing,,rainwater in patio,poço não protegido,,Tank Truck,,nile /canals,,,safe water (ok by our definition),,,
Eau courante … dom.,private outside standpipe/tap,protected public well / borehole,puits proteges,,rainwater in tank/barrel,Priv well un pro,,tank wagon,,"nile, canal",,,"Safe/improved (Hand pump – public, Hand pump – in compound, Bored well – hand pump, Bored well motorized, Spring – protected, Pipe scheme – gravity, Pipe scheme motorized, Pipe scheme – municipal, Bowser/water tanker)",,,
eau de robinet dans la cour,pub pipe,Protected tube well or bore hole,puits proteg‚,,rainwater tank,Private well (un-protected),,"tank, ponds reserved for drinking",,no pipe of river or spring,,,"si, dentro de la viv",,,
eau de robinet dans la cour / parcelle,public aqueduct,protected well / borehole in yard /plot,puits protégé,,rainwater tank on site,Private well (unprotected),,tanker,,non-protected surface water {cg},,,"si, fuera de la viv",,,
eau de robinet dans la cours,public faucet,protected well/boreh,take from other private well,,"rainwater, fixed tank",Pub well un prot,,Tanker,,ocean/lake,,,source amenagee,,,
eau de robinet dans la parcelle voisine,public Fountain,Proveniente de poço ou furo protegido com bomba manual,water from hand-dug and reinforcement wells,,"rainwater, snow",public open well,,Tanker service,,"Ojo de Agua, River or Creek",,,source aménagée,,,
eau de robinet dans le llogement,public fountain,public bore hole,"water from hand-dug, non-reinforced and covered wells",,"rainwater,fixed tank",Public open well,,Tanker Service,,"Ojo de Agua, river or stream",,,Source protected or covered,,,
eau de robinet dans le logement,public fountain /tank,public borehole,"Water from hand-dug, non-reinforced and covered wells",,"rainwater,fixed tank ",public shallow well,,tanker supply/water vendor,,Open pond,,,Source protegee,,,
Eau de robinet dans le logement,Public jet/stream,Public borehole,well in house/garden,,rcolha de agua da chuva,public tank or well,,Tanker truck,,open water,,,source protegee,,,
eau de robinet dns le logement,Public office,public hand pump,well in house/yard/plot,,Recoveryof rainwater,public trad. well,,tanker truck,,"Outside the field- Rain water, river, canal, creek or ditch",,,source protegeee,,,
Eau de robinet dns le logement,Public outdoor tap or borehole,Public Hand-pump,"well in res, yard",,roof top,public traditional well,,tanker truck                              {from 61},,"Outside the home but within the field- Rain water, river, canal, creek or ditch",,,source proteg‚e,,,
eau du robinet,public piped network,Public handpump,well in resid./plot,,"Tank, cistern (rainwater?)",public well,,tanker truck /peddler,,"per carry river, canal or stream",,,source protegée/amenagee,,,
eau du robinet dans la cour,Public Stand Pipe,public handpump,well in residence,,unprotected rainwater collection,Public Well,,tanker truck /vendor,,pond,,,source protégé,,,
eau du robinet dans la cour/concession,public stand pipe,Public or privateborehole,Well in residence,,"unprotected, rain water",Public well,,tanker truck vendor,,Pond,,,source protégée,,,
eau du robinet dans la cours,public stand-pipe,public pump,well in residence/garden,,"vat, drum",Public well (un-protected),,"Tanker truck, other vendor",,pond  / lake,,,stone tap (dhara),,,
eau du robinet dans le lgt,Public standpipe,public well w /pump,well in residence/yard/compound,,"Vat, drum",Public well (unprotected),,"tanker truck, other vendor",,pond / lake,,,stone tap/dhara,,,
eau du robinet dans le logement,public standpipe,public well w/pump,Well in residence/yard/plot,,water in drums/big cans,Public well or tank,,"Tanker Truck, Vender or  Otherwise bought",,pond /dam/lake,,,"trae,comp. de vecino",,,
